ek,c,s
1234,s220,377
1235,s701,378
1236,s716,
1237,s712,379
1238,,
1239,,
1240,s406,
1241,s469,
1242,s125,
1243,s626,355
1244,s627,
1245,s755,
1246,s756,380
1247,s757,
1248,s603,381
1249,,
1250,,
1251,s507,382
1252,s503,383
1253,,
1254,s606,384
1255,s525,385
1256,,
1257,s514,
1258,s536,
1259,s511,
1260,s516,386
1261,,
1262,,
1263,,
1264,s529,
1265,,387
1266,s530,
1267,s754,
1268,s537,
1269,,
1270,,
1271,,
1272,,
1273,s214,388
1274,s512,
1275,s539,389
1276,,
1277,s538,
1278,s721,
1279,,
1280,s758,
1281,s759,
1282,s806,
1283,s810,
1284,,
1285,s452,
1286,,
1287,s243,404
1288,,
1289,s812,
1290,,
1291,s760,
1292,s858,
1293,s815,419
1294,s857,
1295,s859,420
1296,s541,
1297,s145,
1298,,
1299,s919,432
1300,,
1301,,
1302,s901,446
1303,s914,
1304,s920,
1305,s922,
1306,,
1307,s930,
1308,s912,
1309,,
1310,,
1311,,447
1312,,
1313,,
1314,s923,
1315,s905,448
1316,,
1317,,
1318,s915,
1319,,449
1320,,
1321,s921,
1322,s924,
1323,,
1324,,
1325,s925,459
1326,s818,
1327,s825,492
1328,,
1329,,
1330,s834,
1331,,493
1332,,
1333,s310,494
1334,s5,
1335,s8,495
1336,,
1337,,496
1338,s504,
1339,s628,497
1340,s25,
1341,s505,498
1342,,
1343,,
1344,,
1345,s405,499
1346,,
1347,,
1348,s513,
